V_Gene_Family,Frequency,Percentage
IGHV1/OR21,8,4.2312989896061573e-07
IGHV2/OR16,2,1.0578247474015393e-07
IGHV6,20073914,1.061734150320511
IGHV3,821692393,43.46032740334957
IGHV2,33089596,1.7501496765159492
IGHV4/OR15,237125,0.012541834661379501
IGHV5,75646841,4.001055023627471
IGHV7,7381426,0.3904127546956577
IGHV8,1,5.2891237370076966e-08
IGHV1/OR15,42441,0.0022447570052234367
IGHV3/OR15,219,1.1583180984046855e-05
IGHV4,515947080,27.28907947867809
IGHV3/OR16,19416,0.0010269362647774144
IGHV1,416541887,22.031415819896775
