V_Gene_Family,Frequency,Percentage
IGHV2,11960087,7.138053400869173
IGHV11,74853,0.044673981988196255
IGHV4,1537467,0.9175954613101162
IGHV1,91188617,54.42345174390507
IGHV8,1869788,1.1159322329598746
IGHV6,2979394,1.7781704660032327
IGHV5,26139553,15.600682937243683
IGHV3,9563005,5.707420051608228
IGHV15,184181,0.10992343228151141
IGHV7,4251256,2.5372467899911997
IGHV10,2500964,1.4926325022260596
IGHV16,220,0.0001313010305185253
IGHV14,13333163,7.957536554415784
IGHV9,1376779,0.8216931886193853
IGHV12,149577,0.08927097382667937
IGHV13,38153,0.022770582806242255
